_id,Nombre del organismo contratante,Titulo,Modalidad,Tipo de contrato,Procedimiento,Criterio adjudicacion,Tramitacion,Valor estimado (Euros),Importe (Euros),Importe licitacion (Euros),Supuesto,Revision precios,Formula revision,Contrato plurianual,Posibilidad de prorroga,Plazo maximo,Codigos CPV,Varios Lotes,Lote,Adjudicatario,Fecha de adjudicacion,Fecha de formalizacion del contrato,Plazo o fecha fin,NIF,Importe adjudicacion (Euros),No de participantes,Clausulas sociales,Clausulas de compra ecologica,Contratacion de I+D,Contratacion de soluciones innovadoras,Importe financiacion (Euros),Reserva en licitacion,Importe Ejecutar (Euros)
1,Agencia Navarra para la Dependencia,"Contrato del Servicio de recogida, traslado y entrega de documentación entre los Servicios Sociales de Base de Navarra, las Unidades de Barrio del Ayuntamiento de Pamplona, la Residencia Santo Domingo y el Departamento de Derechos Sociales",Contratos,Servicios,Abierto,Mejor relación calidad-precio,Anticipada,"87.607,08","10.700,00","13.273,80",,N,,,S,60 meses,60160000,N,,Transportes Boyaca S.L,01/03/2020,01/03/2020,01/03/2020 - 31/12/2020,****1725*,"10.700,00",2,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
2,Agencia Navarra para la Dependencia,COVID-19 Suministro de mascarillas,Contratos,Suministro,Sin procedimiento,Mejor relación coste-eficacia: otro,Emergencia,"56.562,50","56.562,50","56.562,50",,N,,,N,,18143000,N,,ANAGALIS FARMA,15/03/2020,15/04/2020,15/03/2020 - 15/04/2020,****2235*,"56.562,50",1,N,N,N,N,,N,
3,Agencia Navarra para la Dependencia,Contrato de suministro de mascarillas por el procedimiento de emergencia derivado COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"23.800,00","23.800,00","23.800,00",,N,,,N,,18143000,N,,JUPER IRU SL,30/04/2020,17/08/2020,30/04/2020 - 30/04/2020,****4783*,"23.800,00",1,N,N,N,N,,N,
4,Agencia Navarra para la Dependencia,Contrato del servicio de limpieza en Hotel Virrey Palafox de Fitero por el procedimiento de emergencia derivado del COVID-19,Contratos,Servicios,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"21.158,00","21.158,00","21.158,00",,N,,,N,,90910000,N,,EULEN S.A.,02/04/2020,17/08/2020,06/04/2020 - 28/05/2020,****1730*,"21.158,00",1,N,N,N,N,,N,
5,Agencia Navarra para la Dependencia,Contrato de suministro de equipamiento derivado de la crisis sanitaria por COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"14.747,68","14.747,68","14.747,68",,N,,,N,,33000000,N,,Fisiomedica Actual S.L.,01/04/2020,,01/04/2020 - 21/04/2020,****2491*,"14.747,68",1,N,N,N,N,,N,
6,Agencia Navarra para la Dependencia,Contrato de suministro de equipamiento derivado de la crisis sanitaria por COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"5.704,65","5.704,65","5.704,65",,N,,,N,,33000000,N,,Lorca Salud S.L.,15/04/2020,,15/04/2020 - 22/05/2020,****7976*,"5.704,65",1,N,N,N,N,,N,
7,Agencia Navarra para la Dependencia,Contrato de suministro de equipamiento derivado de la crisis sanitaria por COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"2.850,00","2.850,00","2.850,00",,N,,,N,,33000000,N,,Medica Cuatro S.L.,22/04/2020,,22/04/2020 - 22/04/2020,****3409*,"2.850,00",1,N,N,N,N,,N,
8,Agencia Navarra para la Dependencia,Contrato del servicio de catering del Hotel Virrey Palafox en Fitero por el procedimiento de emergencia derivado del COVID-19,Contratos,Servicios,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"15.043,00","15.043,00","15.043,00",,N,,,N,,55300000,N,,Gourmet Food S.A.,06/04/2020,06/04/2020,06/04/2020 - 27/05/2020,****2753*,"15.043,00",1,N,N,N,N,,N,
9,Agencia Navarra para la Dependencia,Contrato del servicio de catering en la Residencia Felix Garrido por el procedimiento de emergencia derivado del COVID-19,Contratos,Servicios,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"30.012,51","30.012,51","30.012,51",,N,,,N,,55300000,N,,Gourmet Food S.A.,30/03/2020,01/04/2020,30/03/2020 - 31/05/2020,****2753*,"30.012,51",1,N,N,N,N,,N,
10,Agencia Navarra para la Dependencia,Contrato del servicio de limpieza de la Residencia Felix Garrido de Sarriguren por el procedimiento de emergencia derivado del COVID-19,Contratos,Servicios,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"27.155,13","27.155,13","27.155,13",,N,,,N,,90910000,N,,EULEN S.A.,30/03/2020,01/04/2020,30/03/2020 - 01/06/2020,****1730*,"27.155,13",1,N,N,N,N,,N,
11,Agencia Navarra para la Dependencia,Contrato de suministro de Equipo de Protección Individual derivado de la crisis sanitaria COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación coste-eficacia: otro,Emergencia,"11.722,00","11.722,00","11.722,00",,N,,,N,,35113400,N,,FISIOMEDICA ACTUAL S.L.,26/03/2020,26/03/2020,26/03/2020 - 20/04/2020,****2491*,"11.722,00",1,N,N,N,N,,N,
12,Agencia Navarra para la Dependencia,Contrato de suministro de Equipos de Protección Individual derivado de la crisis sanitaria COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación calidad-precio,Emergencia,"15.385,60","15.385,60","15.385,60",,N,,,N,,35113400,N,,GAMMA SOLUTIONS S.L.,08/06/2020,08/06/2020,08/06/2020 - 08/06/2020,****3933*,"15.385,60",1,N,N,N,N,,N,
13,Agencia Navarra para la Dependencia,Contrato de suministro de Equipos de Protección Individual derivado de la crisis sanitaria COVID-19,Contratos,Suministro,Sin procedimiento,Mejor relación coste-eficacia: otro,Emergencia,"1.200,00","1.200,00","1.200,00",,N,,,N,,35113400,N,,LABORATORIOS HARTMANN S.A.,07/04/2020,07/04/2020,07/04/2020 - 07/04/2020,****3240*,"1.200,00",1,N,N,N,N,,N,
